Company Name,Website,Type,One-Liner Description,Target Segment,Key Capabilities,Weaknesses,Pricing,Funding Stage,Threat Level,Vertical,Source
Faro Health,farohealth.com,Direct,"AI platform for clinical development focused on protocol design, document authoring, and workflow automation to accelerate study startup.","Biopharma clinical development teams, study design teams, clinical operations, and medical device sponsors designing complex studies",Study design optimization with real-time insights; document authoring with ICH M11-compliant protocol drafts; workflow automation; one-click push to Veeva EDC; API and USDM JSON integrations; site budget automation; protocol digitization and downstream study startup connectivity,More focused on protocol design and study startup than broader trial execution/data capture; pricing not public; may be strongest for enterprise teams with structured downstream systems and standards libraries,Not publicly disclosed; enterprise SaaS,"Series B/late growth private; raised $15M Series A in 2021 and $20M in 2023 led by General Catalyst, with Section 32, Polaris, Zetta Ventures, and Northpond participating",High,Clinical Trial Design & Protocol Authoring,farohealth.com; farohealth.com/workflow-automation; prnewswire.com; mobihealthnews.com; generalcatalyst.com
Cori Clinical,cori-clinical.com,Direct,"Clinical-grade AI for study startup; auto-drafts protocols, ICFs, IBs; Microsoft Word Add-in integration. (web)","CROs, biotech, pharma – Clinical Documentation teams (web)","AI protocol drafting, ICF generation, IB drafting, training materials, site packs, Microsoft Word Add-in, GxP compliance focus (web)","Founded 2025, unfunded, ~10 employees; no named customers; unproven product-market fit (web)",Annual contract value ~€25K (from VC doc),Unfunded/bootstrapped; founded 2025; 8 live trials (Phase 1-2); 4 customers; ICON POC €100-200K (from VC doc) (web),High,Clinical Development Documentation,cori-clinical.com; pitchbook.com; tracxn.com; VC insights doc
Risklick,risklick.ch,Direct,AI platform for protocol drafting and regulatory submissions; database of 800K trials; vision to be the OS for clinical trials.,"Biopharma sponsors, MedTech companies – R&D, Clinical Ops, Regulatory Affairs (web)","Protocol AI (NLP/LLM protocol generation), 800K linked trial database, Deduklick (96.2% recall deduplication), Study Engager (patient engagement tool), evidence-based design recommendations (web)",Currently limited to protocol design; broader vision not yet delivered; seed-stage with ~11 employees; no disclosed enterprise pricing (web),Not publicly disclosed (web),"Seed stage; Debiopharm Innovation Fund (Apr 2024); €5M revenue, expecting €10M by EOY; €17M multi-year Novartis contract (web)",High,Clinical Development Documentation,"risklick.ch; crunchbase.com; globenewswire.com (Jan 13, 2026); debiopharm.com; fiercebiotech.com; startupticker.ch"
Citeline,citeline.com,Traditional / CRO,"Pharma intelligence platform (Norstella subsidiary) with Trialtrove, Sitetrove, Pharmaprojects; $5B valuation post-merger. (web)","Large pharma, biotech, CROs, academic medical centers – Clinical Development, Commercial Intelligence (web)","Trialtrove (60K+ sources), Sitetrove (500K investigators, 190K sites, 185 countries), Pharmaprojects (100K drug profiles), Ella AI chatbot, Protocol SmartDesign, Investigator SmartSelect, Cohort Builder, AI Importer for TrialScope, NorstellaLinQ (74B data points) (web)","Siloed modules; descriptive dashboards not generative AI; Glassdoor: 2.6/5 culture rating, 15% would recommend (web); no end-to-end protocol drafting (partnered with Risklick for this)","Multiple module subscriptions; 12-month standard, multi-year encouraged; custom enterprise pricing (web)","Part of Norstella ($5B valuation); owned by Warburg Pincus + Mubadala; 1,600+ employees across 5 brands (web)",High,Clinical Trial Data Intelligence,citeline.com; globenewswire.com; norstella.com; glassdoor.com; prweb.com
Yseop,yseop.com,Direct,Generative AI (NLG) for regulatory document automation; 150+ clinical trials; backed by Eli Lilly and Novartis. (web),"Pharma/biotech – Medical Writers, Regulatory Affairs teams (web)","Yseop Copilot (composite AI: LLM + business logic + domain rules), CSR automation, patient narrative generation (4hrs→4sec), SCS documents, CMC submissions, eCTD integration (web)","Focused on document generation only; no trial design, site selection, or feasibility; no integrated workspace spanning full trial lifecycle","Enterprise SaaS, usage/volume-based (web)","€10M growth funding from Claret Capital Partners (Sept 2025); strategic investors: Eli Lilly, Novartis (dRx Capital), NextStage AM, Wille Finance (web)",Medium,Clinical Development Documentation,"crunchbase.com/organization/yseop; claret-capital.com; globenewswire.com (Dec 7, 2023); yseop.com"
ConcertAI,concertai.com,Adjacent,"Oncology-focused AI and real-world data platform for translational medicine, clinical trials, clinical development, imaging/diagnostics, and commercial insights; offers generative and agentic AI via CARAai and Precision Suite.","Life sciences enterprises, healthcare providers, oncology researchers, biopharma sponsors – especially oncology clinical development and commercial teams","Precision Trials for feasibility, protocol optimization, site selection, and patient recruitment forecasting; Precision Explorer for RWE analysis; Precision GTM; Precision 360; Digital Trial Solutions; SmartLinQ/CancerLinQ real-time clinical insights and trial screening support; oncology-focused multi-modal RWD and generative/agentic AI","Broad oncology RWD/analytics platform rather than end-to-end clinical documentation workflow; appears strongest in oncology, so less generalizable across all therapeutic areas; enterprise-scale platform likely heavier and more data-dependent than focused workflow startups",Not publicly disclosed; enterprise SaaS/data platform pricing,"Series C; $150M raised in 2022 at $1.9B valuation from Sixth Street; investor page lists Sixth Street, Declaration Partners, Maverick Ventures, and SymphonyAI/SAI Group backing",Medium,Clinical Trial Data Intelligence,concertai.com; concertai.com/investors; sixthstreet.com; fiercehealthcare.com; concertai.com/precision-trials
ArcaScience,arcascience.org,Direct,"AI Benefit-Risk Decision Engine; 24 specialized AI models, 100B biomedical datapoints, 50+ regulatory submissions supported. (web)","Pharma/biotech – Regulatory Affairs, Medical Affairs teams (web)","AI Benefit-Risk Decision Engine, 24 specialized AI models, auto-generated study reports/regulatory dossiers/HTA submissions with audit trails, 50+ regulatory submissions across 12 therapeutic areas (web)","Focused on benefit-risk analysis and post-trial submissions; doesn't cover protocol design or site selection; Paris-based, early US expansion (web)",Enterprise AI SaaS (web),"$13.2M total; $7M seed (Sept 2025, led by The Moon Venture); previous €1.3M pre-seed (Plug & Play); €4M equity + Bpifrance (web)",Medium,Regulatory Submissions,"tech.eu (Sept 3, 2025); hitconsultant.net; eu-startups.com"
Deep Intelligent Pharma,deepintelligentpharma.com,Direct,"Autonomous clinical system using AGI; automates protocol drafting, study design, data analysis, regulatory translation; $110M+ raised. (web)","Pharma/biotech – 1,000+ clients globally including Merck, J&J, Bayer (web)","AGI-powered full clinical trial workflow automation: protocol drafting, study design, data analysis, regulatory translation, submission prep (web)",Singapore/China-based; may face regulatory trust barriers in EU/US markets; AGI positioning may be overstated (web),Not publicly disclosed (web),"Series D $50M (late 2025, CDH Baifu, Xinding, HongShan); Series E $60M+ (Feb 2026, Trustar, Jinyi, Kaitai); $110M+ total raised (web)",Medium,Clinical Development Documentation,bioxconomy.com; crunchbase.com/organization/deep-intelligent-pharma; pandaily.com
DrugCard,drug-card.io,Adjacent,AI-powered pharmacovigilance literature screening; monitors 700+ local medical journals for adverse drug reactions. (web),"CROs, MAHs, freelance pharmacovigilance professionals (web)","AI medical literature screening for pharmacovigilance, 700+ local journal monitoring, auto-detection of ADRs, EMA/FDA compliance (web)",Post-market surveillance only; very early (€255K raised); narrow pharmacovigilance focus (web),Not publicly disclosed (web),"€255K (2021, Farmak & Think Bigger Capital); Estonia-based, founded 2021 (web)",Medium,Regulatory Submissions,drug-card.io; pitchbook.com; cbinsights.com
Inato,inato.com,Direct,"AI-powered clinical trial marketplace; 5,500+ sites across 50+ countries; works with 10 of top 30 pharma companies; $53M+ raised. (web)","Pharma sponsors (10 of top 30), CROs, community research sites (web)","AI-powered trial marketplace, site selection analyst, trial enrollment acceleration, patient access data, feasibility assessment across 70+ disease areas, two-sided marketplace (web)",Marketplace model focused on site access; doesn't provide protocol design or regulatory document generation,Not disclosed; likely outcome-based or usage-based marketplace model (web),"$53.1M total; Series A2 €20M (2023, led by Cathay Innovation); Series A €14M (2020, Obvious Ventures + Cathay) (web)",Medium,Site Selection,crunchbase.com/organization/inato; inato.com; mobihealthnews.com; prnewswire.com (Sept 2025)
JENLY.AI,jenly.ai,Direct,"Agentic AI for regulatory document auto-drafting: CTD dossiers, CERs, PSURs, HTA submissions with audit-ready citations. (web)","Pharma/biotech – Regulatory Affairs, Medical Writers, HEOR professionals (web)","CTD/CTD-RoW dossier automation, CER generation, PSUR automation, HTA reimbursement dossiers, clickable audit citations, multi-source data synthesis (Word, PDF, spreadsheets, databases) (web)",Very limited public visibility; no disclosed funding or named customers; early stage (web),Not publicly disclosed; likely enterprise SaaS (web),Unknown; appears early-stage (web),Medium,Clinical Development Documentation,jenly.ai
Medidata (Dassault Systèmes),medidata.com,Traditional / CRO,"Integrated SaaS clinical ecosystem; Rave EDC, Clinical Cloud; AI trained on 38K trials, 12M patients; acquired for $5.8B. (web)","18 of top 25 pharma companies; 1M users, 2,300 organizations (web)","Rave EDC, Rave Clinical Cloud, CTMS, safety, payments, analytics; Medidata AI (38K trials, 12M patients, 70B data points/year) (web)",Large enterprise; slower to innovate than startups; high cost; not focused on AI-native protocol generation (web),Enterprise SaaS subscription (web),"Acquired by Dassault Systèmes (Dec 2019, $5.8B); strategic subsidiary (web)",Medium,Clinical Trial Data Intelligence,medidata.com; wikipedia.org
Menken Trials,menkentrials.com,Direct,"Clinical trial eTMF, eISF, and monitoring software; AI-powered compliance detection; €1.41M grant-funded. (web)","Small-to-medium biotech, academic hospitals, CROs (web)","eTMF, eISF, MenkenMONITOR, AI document quality control, automated compliance detection, 60% task automation (web)","Grant-funded only (no VC); early stage; competing against Veeva, Oracle, IQVIA in eTMF space (web)",Not publicly disclosed (web),€1.41M grant from Enterprise Estonia and KredX (July 2024); Tenity accelerator (web),Medium,Clinical Development Documentation,investinestonia.com; arcticstartup.com; tracxn.com
